1024000,132995848,19.091291
2048000,244748096,20.748374
3072000,415969224,18.311902
4096000,490176488,20.719578
5120000,504591512,25.159584
6144000,580311264,26.252075
7168000,667130144,26.641635
8192000,730117000,27.820884
9216000,902747744,25.313342
10240000,1009103376,25.161570
11264000,1083178520,25.784935
12288000,1127597432,27.020947
13312000,1190778384,27.719526
14336000,1286689128,27.626623
15360000,1338734040,28.449219
16384000,1466707480,27.698093
17408000,1519897528,28.399324
18432000,1593198632,28.686395
19456000,1713715528,28.150639
20480000,1819925800,27.902923
102400000,8309437712,30.556370
112640000,9428385152,29.622981
122880000,10269345496,29.669612
133120000,12755834216,25.876640
143360000,13662524304,26.017795
153600000,35953193808,10.593200
204800000,33192731088,15.298907
245760000,46198602744,13.190334
256000000,55878947912,11.359656
307200000,65728591768,11.588849
317440000,68977509600,11.411102
614400000,163380334088,9.324485
