10240000,33062720,767.953302
20480000,48790960,1040.792188
30720000,73601392,1034.924380
40960000,96062104,1057.258750
51200000,129329352,981.626545
61440000,172301792,884.168111
71680000,171731576,1034.954544
81920000,193408608,1050.237640
92160000,213962680,1068.016277
102400000,232012888,1094.362698
112640000,298881568,934.473400
122880000,304117016,1001.875870
133120000,319821888,1032.068590
143360000,330840760,1074.440616
153600000,353785504,1076.526230
163840000,383852840,1058.348298
174080000,495771304,870.644633
184320000,431447672,1059.297059
194560000,444446096,1085.445185
204800000,468010160,1085.045889
215040000,495604152,1075.864927
225280000,517356832,1079.706917
235520000,532514408,1096.654600
245760000,561764512,1084.751683
256000000,584507872,1085.983022
266240000,622991984,1059.654485
276480000,624430144,1097.876010
286720000,742620968,957.335614
307200000,713083256,1068.204510
327680000,750286944,1082.919017
368640000,844872216,1081.894377
409600000,939086720,1081.502888
522240000,1176207760,1100.929546
